condition,time_iou,time_iou_ci95,time_correlation,time_correlation_ci95,structure_score,structure_score_ci95,autocorr_peak,amplitude_std,waft_ratio,expected_class,rule_matched,match_reason
brightness,0.9914950841911496,"[0.9745673414576042, 0.9999921003794503]",0.8022505047238502,"[0.7293651106357913, 0.870935657391535]",9.675290774432918,"[6.2931994420041715, 14.156845467256616]",0.9512732090934708,10.150345804367921,1.0001215231000078,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
contrast,0.8859427602928779,"[0.8341156475305322, 0.9357751310024703]",0.7057016673605727,"[0.5920637617831694, 0.8161740537520051]",13.338276255991769,"[10.76894523249747, 16.43090082199252]",0.9273628686528893,14.297191911402487,0.9989545588976764,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
defocus_blur,0.4949599428887182,"[0.41930559126251515, 0.5708017904776789]",0.49561455507405594,"[0.3563559545268897, 0.6362403756237316]",4.81680126008341,"[3.9029377830025225, 5.893637807696472]",0.7468037158197269,6.680732426861117,1.0010579319778439,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
elastic_transform,0.506671133138931,"[0.4403381326955093, 0.5747051988318163]",0.5238457282599398,"[0.4082598025063241, 0.6457305843484565]",6.722223227909867,"[5.501211109777375, 8.134597019457132]",0.7768938565503105,8.983622332166439,0.9846760181672034,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
fog,0.9920351945896073,"[0.9853091071054191, 0.997599761520551]",0.9009717813815978,"[0.845437425446074, 0.9506104211608003]",24.613083694037083,"[18.284380110651185, 31.973855689223406]",0.981784072588292,24.965577641001993,1.00338730870404,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
frost,0.9984099251679008,"[0.9952337155803731, 0.9999999782986111]",0.9899444104902925,"[0.9705009515555026, 0.9998294625849437]",15.096036854954127,"[14.902000254222315, 15.458862434965372]",0.9835207693031627,15.352153660502845,0.42417549387694337,A：靜態可匹配結構 → 運動塌陷,True,S≥2、r_t≥0.9、R<1
gaussian_blur,0.5163024976489863,"[0.44162869652958564, 0.5914936034692893]",0.507146561091147,"[0.36398011177549655, 0.650076992716743]",5.097916243307651,"[4.170198456619157, 6.196488793911793]",0.7650428925546534,6.902402168682808,1.0010061904930323,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
gaussian_noise,0.9705863008365269,"[0.9637808630505181, 0.9742067965300566]",0.012932214269891865,"[0.005751025529583877, 0.023503505741959703]",0.2277552503454868,"[0.14969291362713832, 0.3471075876054364]",0.023696678286661155,9.519774846086017,1.0051944163584552,C：不加可匹配結構 → 中性,True,"S<2 且 R落在預先給定[0.979,1.011]"
glass_blur,0.4626537177680404,"[0.3914671805004205, 0.5352875096511317]",0.47231224823254897,"[0.3430525999022524, 0.6014851895237373]",4.512215859779315,"[3.668768820165979, 5.514352640657255]",0.7335244946528066,6.390032472906853,1.0014427739255187,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
impulse_noise,0.11477563479806556,"[0.11366383666741534, 0.11570715471735292]",-0.00010556026200910685,"[-0.00021524448960701442, 3.967819335576235e-06]",0.2274892282758489,"[0.21901599650270243, 0.23610597479734463]",0.010225104859461955,22.232382852214634,0.9984736179006327,C：不加可匹配結構 → 中性,True,"S<2 且 R落在預先給定[0.979,1.011]"
jpeg_compression,0.8049634356057254,"[0.7508096321042648, 0.8573078032044353]",0.3987473355138567,"[0.278616971667832, 0.5199845383601606]",4.5545726052034885,"[3.9856352132421753, 5.13562646409253]",0.7391304059590185,6.549494166242008,0.9788628236631471,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
motion_blur,0.4679192583400614,"[0.41146584076386294, 0.5210473231878473]",0.40680768871164,"[0.30854661818361945, 0.5046528613183088]",5.937846841420891,"[4.814022766602144, 7.303448021812601]",0.7589023230350317,7.845173840019148,1.0107832804741481,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
pixelate,0.49192910031197845,"[0.42339459941128915, 0.5626292625062953]",0.4988498262815134,"[0.36177192549009607, 0.63908785585754]",4.7267451130587474,"[3.8897702115826904, 5.730258477717658]",0.69566381771728,7.015219653910658,0.999394526487528,C：不加可匹配結構 → 中性,False,C的無結構前提不符（S≥2）
rain,0.4614853369313945,"[0.43239949589367205, 0.49486538458991153]",0.11975571111407912,"[0.07960206276604102, 0.1625168681717656]",14.503574093828053,"[13.00061106661452, 15.891142924479988]",0.946485036755685,15.274019211352552,1.8545013465775904,B：變化可匹配結構 → 運動膨脹,True,S≥2、r_t<0.9、R>1
