condition,template_max_abs_error,template_mean_abs_error,template_exact_zero_rgb_fraction,template_pass,zero_offset_correlation,zero_offset_ci95,flow_warp_correlation,flow_warp_ci95,delta_warp_minus_zero,delta_ci95,retained_fraction,retained_ci95,expected,interpretation
brightness,100,17.467096542647248,0.003178027343750012,False,0.8022505047238502,"[0.7293651106357913, 0.870935657391535]",0.9580328675234646,"[0.9357922392476025, 0.9766259708613846]",0.15578236279961463,"[0.0943100455318582, 0.22064498460657628]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
contrast,186,32.51952833638761,0.0014461769386574174,False,0.7057016673605727,"[0.5920637617831694, 0.8161740537520051]",0.9606299135138272,"[0.9463064397514278, 0.9742817158453422]",0.2549282461532544,"[0.1529055888810272, 0.35919045622704143]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
defocus_blur,219,24.61295495635609,0.0013356999903549438,False,0.49561455507405594,"[0.3563559545268897, 0.6362403756237316]",0.8309540911147671,"[0.7998288987407486, 0.8602872050104861]",0.3353395360407114,"[0.2078604858175524, 0.46181540140419497]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
elastic_transform,251,28.932301586210777,0.002202290702160492,False,0.5238457282599398,"[0.4082598025063241, 0.6457305843484565]",0.630902754893405,"[0.5360722477282454, 0.726897473383897]",0.10705702663346524,"[0.07237566759089273, 0.13908723894199793]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
fog,147,34.69798671834812,0.0015725646219135747,False,0.9009717813815978,"[0.845437425446074, 0.9506104211608003]",0.9872630878161412,"[0.9837548881180412, 0.9900176177300403]",0.08629130643454352,"[0.038724785389907125, 0.13971500765219044]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
frost,0,0.0,1.0,True,0.9899444104902925,"[0.9705009515555026, 0.9998294625849437]",0.804579992982986,"[0.7397126020361504, 0.8714345535769387]",-0.1853644175073064,"[-0.25535581791365836, -0.11218086051466035]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",靜態外加圖層／塌陷,零位移較佳（負 Δ）
gaussian_blur,219,24.707783225630145,0.0012393072434413676,False,0.507146561091147,"[0.36398011177549655, 0.650076992716743]",0.8468348627332197,"[0.8180921317270725, 0.8746137409765941]",0.3396883016420729,"[0.21214347038238524, 0.46575150393411296]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
gaussian_noise,254,52.30025375072338,0.0003132137345678965,False,0.012932214269891865,"[0.005751025529583877, 0.023503505741959703]",0.015583992272799625,"[0.007031425877920041, 0.028556799413255306]",0.002651778002907765,"[0.001007855818736924, 0.005054064987478754]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
glass_blur,220,23.434883841708462,0.0012425588348765504,False,0.47231224823254897,"[0.3430525999022524, 0.6014851895237373]",0.7768502180081784,"[0.7470320206723021, 0.8045811145336017]",0.3045379697756296,"[0.18692478308586574, 0.4216490758386103]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
impulse_noise,255,91.9165642578125,0.09259930073302469,False,-0.00010556026200910685,"[-0.00021524448960701442, 3.967819335576235e-06]",5.646093346831873e-06,"[-0.00011636834325943667, 0.00011399882296172142]",0.0001112063553559387,"[-2.736159779562036e-05, 0.00023850961875526299]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,CI 跨 0
jpeg_compression,218,25.76653705672904,0.00100743995949073,False,0.3987473355138567,"[0.278616971667832, 0.5199845383601606]",0.5204170224861822,"[0.4293266883475184, 0.6126693951317351]",0.12166968697232547,"[0.0722084827134067, 0.16340489510490583]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
motion_blur,248,28.298628289769802,0.0013573121624228413,False,0.40680768871164,"[0.30854661818361945, 0.5046528613183088]",0.8025732997898822,"[0.7814657996428782, 0.826089337818514]",0.39576561107824226,"[0.28144610363930717, 0.5076702173035651]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
pixelate,230,24.218145348267104,0.0016547972125771637,False,0.4988498262815134,"[0.36177192549009607, 0.63908785585754]",0.6516955235740833,"[0.5972806597328317, 0.7079530160655821]",0.15284569729256992,"[0.06483732451232843, 0.23805621891562986]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
rain,158,32.28896574717078,0.0020304205246913566,False,0.11975571111407912,"[0.07960206276604102, 0.1625168681717656]",0.141606794623856,"[0.1002501065602639, 0.1878019339847168]",0.021851083509776867,"[0.01109542172853303, 0.03311247725622008]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",獨立移動圖層／膨脹,flow warp 較佳（正 Δ）
saturate,145,17.613802536249356,0.00012379557291667398,False,0.7702781260310357,"[0.6733229356924579, 0.8556489913688217]",0.9561262034447916,"[0.9329779283654341, 0.9761375716235225]",0.1858480774137556,"[0.10900115609513705, 0.26837391878627553]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
shot_noise,255,55.07222110299318,0.0004614185474536958,False,0.1209664351637405,"[0.09641375105857183, 0.14593706116743282]",0.1443364191932993,"[0.12116391733074817, 0.16637577965016995]",0.023369984029558782,"[0.014345221240952206, 0.03249901938776685]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
snow,253,84.882406893406,0.0030585467303240856,False,0.01881969543772231,"[0.011335827208225877, 0.027165675300232617]",0.021667034696075477,"[0.014074039421947848, 0.030277496291274898]",0.00284733925835317,"[0.001353567442055586, 0.004296399500289595]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",獨立移動圖層／膨脹,flow warp 較佳（正 Δ）
spatter,0,0.0,1.0,True,0.9980116029786414,"[0.9944322272920469, 0.9999124204423749]",0.42668880469642884,"[0.2772708545436962, 0.5915386648679567]",-0.5713227982822126,"[-0.7206524797813054, -0.40810875060305596]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",靜態外加圖層／塌陷,零位移較佳（負 Δ）
speckle_noise,255,65.57897815031829,0.0005144446855709694,False,0.29132531703603937,"[0.23961336431779623, 0.34515379936385704]",0.34812307840893786,"[0.3042531685831318, 0.39268996244964316]",0.05679776137289842,"[0.034133949683126455, 0.07992936503483923]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",隨場景變換／中性,flow warp 較佳（正 Δ）
zoom_blur,217,33.87046433095422,0.001162622974537042,False,0.6551376723548289,"[0.527864660097192, 0.7805268747784465]",0.9375598698100411,"[0.914897812165129, 0.9581903328650935]",0.282422197455212,"[0.1711475586708484, 0.3934795383077363]",0.9532143325617284,"[0.9327386501736112, 0.9714393372034145]",獨立移動圖層／膨脹,flow warp 較佳（正 Δ）
