condition,subset,pixel_observations,fraction,epe,clean_mean_magnitude,corrupt_mean_magnitude,magnitude_ratio,epe_ci95_status,epe_bootstrap_valid_draws,magnitude_ratio_ci95_status,magnitude_ratio_bootstrap_valid_draws,fraction_ci95_status,fraction_bootstrap_valid_draws,scenes_with_pixels,flow_fields_with_pixels
spatter,all,8211456000,1.0,6.936440835222294,12.172585327275565,5.402828023921184,0.44385213811686053,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
spatter,source_untouched,6711192412,0.8172962763241988,6.91049338990756,12.168576382579294,5.426172819404086,0.4459168146548574,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
spatter,both_untouched,6710233868,0.8171795437983227,6.911450472805977,12.168808915445899,5.425454315689949,0.44584924896005285,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
spatter,local5_untouched,2270597754,0.27651585224349984,6.805088861353561,12.161710812533244,5.533794677873879,0.4550177818873173,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
spatter,correspondence_local5_untouched,1302770169,0.15865276133733164,3.124554893301797,5.997423263419504,2.9654849071337046,0.4944598333122977,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
spatter,source_touched,1500263588,0.18270372367580123,7.052512637204221,12.190518708743278,5.298398765251112,0.4346327577883127,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
spatter,both_touched,1501222132,0.18282045620167728,7.0481439421010625,12.18946531193524,5.301691952118312,0.434940484791174,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
frost,all,8211456000,1.0,7.134921067894904,12.172585327275565,5.166348222854221,0.4244248928186022,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
frost,source_untouched,11482564,0.0013983590729829156,0.6974187133805023,9.954413359979144,9.385663071117724,0.9428645096105783,conditional on valid bootstrap draws,9929,conditional on valid bootstrap draws,9929,conditional on valid bootstrap draws,10000,4,890
frost,both_untouched,6314608,0.0007689997973562788,0.6449127756538721,9.445934444746397,8.907793724320856,0.9430293822624566,conditional on valid bootstrap draws,8951,conditional on valid bootstrap draws,8951,conditional on valid bootstrap draws,10000,2,842
frost,local5_untouched,371860,4.528551331213368e-05,0.37382613210094406,9.017290693462524,8.728659397157289,0.9679913506044014,fewer than two supporting scenes; interval not estimable,6533,fewer than two supporting scenes; interval not estimable,6533,conditional on valid bootstrap draws,10000,1,278
frost,correspondence_local5_untouched,604663,7.363651464490584e-05,0.6091435381368197,10.58357992188384,10.088450574088219,0.9532172146428606,fewer than two supporting scenes; interval not estimable,6533,fewer than two supporting scenes; interval not estimable,6533,conditional on valid bootstrap draws,10000,1,328
frost,source_touched,8199973436,0.9986016409270171,7.143935613291032,12.175691471676675,5.1604398436186685,0.42383135739132205,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
frost,both_touched,8205141392,0.9992310002026438,7.139915723845893,12.174683734926749,5.163468837775231,0.42411523372572424,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
rain,all,8211456000,1.0,11.791959668966744,12.172585327275565,22.5727863852451,1.8543954121780042,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
rain,source_untouched,597345718,0.07274540812250592,9.753933687649956,11.498272425314672,20.117262316900195,1.7495899881976964,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
rain,both_untouched,55626882,0.006774301902123083,6.839971856400668,10.436968856543706,16.377760766777843,1.5692066338311832,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
rain,local5_untouched,215392,2.6230670906596833e-05,0.5401783181782935,8.588818687242357,8.607129891906279,1.0021319817463514,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,8,652
rain,correspondence_local5_untouched,167474,2.0395164998752963e-05,0.30461991697227814,5.0997373036594045,5.120095779417189,1.0039920636192723,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,7,656
rain,source_touched,7614110282,0.927254591877494,11.951847830291426,12.225486836402732,22.765428300498062,1.8621285683864546,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
rain,both_touched,8155829118,0.9932256980978769,11.825734731897757,12.184423109948275,22.615039595075707,1.8560615788704102,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
snow,all,8211456000,1.0,4.042707059331883,12.172585327275565,14.767822488425079,1.2132034478603546,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
snow,source_untouched,1160760386,0.1413586562480515,2.556494199088308,10.876504761818952,12.471477236957922,1.1466438446970562,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
snow,both_untouched,285699762,0.03479282626613356,2.6894523649937967,7.639135374474517,9.692096890315211,1.2687426541360272,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
snow,local5_untouched,1996650,0.00024315419823232323,2.1035334140777646,3.049529200919268,4.9216070366187274,1.6138907721018476,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,9,1934
snow,correspondence_local5_untouched,1764965,0.00021493934814970694,1.8968994013528073,3.613753755718033,5.267837706017813,1.4577190539567142,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,9,2072
snow,source_touched,7050695614,0.8586413437519484,4.287383203045849,12.385959873534414,15.14587122948683,1.2228257950237371,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
snow,both_touched,7925756238,0.9652071737338664,4.091487835889721,12.336002613104306,14.950787186279983,1.2119636850918014,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
zoom_blur,all,8211456000,1.0,1.7099337835954744,12.172585327275565,13.18615201341213,1.0832663447316675,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
zoom_blur,source_untouched,111965099,0.013635230950515963,1.3211775350178503,12.704490432513369,13.874900439352537,1.0921256946948341,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
zoom_blur,both_untouched,62111162,0.007563964539297294,0.5494941049147776,4.842951815334161,5.347345973809793,1.1041501500961821,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3288
zoom_blur,local5_untouched,15214,1.852777388078314e-06,0.10261427369139672,0.5986776838402723,0.6957674931304477,1.1621737571164905,conditional on valid bootstrap draws,8972,conditional on valid bootstrap draws,8972,conditional on valid bootstrap draws,10000,2,366
zoom_blur,correspondence_local5_untouched,2275,2.7705196252649957e-07,0.10705766615507256,0.6780896517579336,0.7799340841710799,1.150193167155872,fewer than two supporting scenes; interval not estimable,6551,fewer than two supporting scenes; interval not estimable,6551,conditional on valid bootstrap draws,10000,1,299
zoom_blur,source_touched,8099490901,0.986364769049484,1.7153078413468683,12.165232419729337,13.17663094762675,1.0831384467638403,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
zoom_blur,both_touched,8149344838,0.9924360354607027,1.718778207080621,12.228448965826972,13.245896368509491,1.0832033077560226,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,conditional on valid bootstrap draws,10000,10,3960
